Name,Score
lord gutas,1086
Materusse,824
Samuel,788
FERNANDA ,732
SAMUEL,671
Rkzinn,585
diego,570
BOBS,555
GUIDO,531
samuel,530
PI,515
Matheus Almeida,512
lord gutas,494
g0dZin,494
HENRIQUE,434
Gabriel,434
marcio,427
vinibp,416
montmito,416
guido,414
Gabriel Mantese,401
Anderson,385
picudo,379
MMP,313
pedro,305
esther,287
ray,279
joao,279
gabi,275
et9,273
manu,270
felipe,265
leandrao,265
kirby,265
barbara,254
enzo,248
Samuel,246
ENZO,245
mikael,237
luiz,237
vitor,204
leandro,166
nicholas,146
diego nunes guimares rosa de jesus,135
diego ,133
leandrao,120
tomiya,101
MAT,101
leandro,96


